"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 30 20:26:18 GMT 2025","Wed Jul 30 20:26:19 GMT 2025","1451","LMS system","Dashboard","Dashboard","","","Check displaying of dashboard page",""
"passed","Wed Jul 30 20:26:06 GMT 2025","Wed Jul 30 20:26:09 GMT 2025","2903","LMS system","Authentication","Authorization","","","User login with correct email and password",""
"passed","Wed Jul 30 20:26:10 GMT 2025","Wed Jul 30 20:26:12 GMT 2025","2708","LMS system","Courses","Courses","","","Create course",""
"passed","Wed Jul 30 20:26:15 GMT 2025","Wed Jul 30 20:26:15 GMT 2025","1","tests.pytest","test_markers","","","","test_regression_case",""
"passed","Wed Jul 30 20:26:15 GMT 2025","Wed Jul 30 20:26:15 GMT 2025","0","tests.pytest","test_markers","","","","test_critical_login",""
"passed","Wed Jul 30 20:26:09 GMT 2025","Wed Jul 30 20:26:11 GMT 2025","1301","LMS system","Authentication","Authorization","","","Navigation from login page to registration page",""
"passed","Wed Jul 30 20:26:13 GMT 2025","Wed Jul 30 20:26:14 GMT 2025","1361","LMS system","Courses","Courses","","","Check displaying of empty courses list",""
"passed","Wed Jul 30 20:26:15 GMT 2025","Wed Jul 30 20:26:15 GMT 2025","1","tests.pytest","test_markers","TestUserInterface","","","test_forgot_password_link",""
"passed","Wed Jul 30 20:26:11 GMT 2025","Wed Jul 30 20:26:13 GMT 2025","1677","LMS system","Authentication","Registration","","","Registration with correct email, username and password",""
"passed","Wed Jul 30 20:26:15 GMT 2025","Wed Jul 30 20:26:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_login",""
"passed","Wed Jul 30 20:26:04 GMT 2025","Wed Jul 30 20:26:06 GMT 2025","1961","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Jul 30 20:26:14 GMT 2025","Wed Jul 30 20:26:17 GMT 2025","2753","LMS system","Courses","Courses","","","Edit course",""
"passed","Wed Jul 30 20:26:15 GMT 2025","Wed Jul 30 20:26:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_logout",""
"passed","Wed Jul 30 20:26:15 GMT 2025","Wed Jul 30 20:26:15 GMT 2025","0","tests.pytest","test_markers","TestUserAuthentication","","","test_password_reset",""
"passed","Wed Jul 30 20:26:06 GMT 2025","Wed Jul 30 20:26:08 GMT 2025","1405","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
"passed","Wed Jul 30 20:26:04 GMT 2025","Wed Jul 30 20:26:06 GMT 2025","1925","LMS system","Authentication","Authorization","","","User login with wrong email or password",""
